name	electrode_name	type	units
ch774	e774	n/a	V
ch775	e775	n/a	V
ch776	e776	n/a	V
ch777	e777	n/a	V
ch778	e778	n/a	V
ch779	e779	n/a	V
ch780	e780	n/a	V
ch781	e781	n/a	V
ch782	e782	n/a	V
ch783	e783	n/a	V
ch784	e784	n/a	V
ch785	e785	n/a	V
ch786	e786	n/a	V
ch787	e787	n/a	V
ch788	e788	n/a	V
ch789	e789	n/a	V
ch790	e790	n/a	V
ch791	e791	n/a	V
ch792	e792	n/a	V
ch793	e793	n/a	V
ch794	e794	n/a	V
ch795	e795	n/a	V
ch796	e796	n/a	V
ch797	e797	n/a	V
ch798	e798	n/a	V
ch799	e799	n/a	V
ch800	e800	n/a	V
ch801	e801	n/a	V
ch802	e802	n/a	V
ch803	e803	n/a	V
ch804	e804	n/a	V
ch805	e805	n/a	V
ch806	e806	n/a	V
ch807	e807	n/a	V
ch808	e808	n/a	V
ch809	e809	n/a	V
ch810	e810	n/a	V
ch811	e811	n/a	V
ch812	e812	n/a	V
ch813	e813	n/a	V
ch814	e814	n/a	V
ch815	e815	n/a	V
ch816	e816	n/a	V
ch817	e817	n/a	V
ch818	e818	n/a	V
ch819	e819	n/a	V
ch820	e820	n/a	V
ch821	e821	n/a	V
ch822	e822	n/a	V
ch823	e823	n/a	V
ch824	e824	n/a	V
ch825	e825	n/a	V
ch826	e826	n/a	V
ch827	e827	n/a	V
ch828	e828	n/a	V
ch829	e829	n/a	V
ch830	e830	n/a	V
ch831	e831	n/a	V
ch832	e832	n/a	V
ch833	e833	n/a	V
ch834	e834	n/a	V
ch835	e835	n/a	V
ch836	e836	n/a	V
ch837	e837	n/a	V
ch838	e838	n/a	V
ch839	e839	n/a	V
ch840	e840	n/a	V
ch841	e841	n/a	V
ch842	e842	n/a	V
ch843	e843	n/a	V
ch844	e844	n/a	V
ch845	e845	n/a	V
ch846	e846	n/a	V
ch847	e847	n/a	V
ch848	e848	n/a	V
ch849	e849	n/a	V
ch850	e850	n/a	V
ch851	e851	n/a	V
ch852	e852	n/a	V
ch853	e853	n/a	V
ch854	e854	n/a	V
ch855	e855	n/a	V
ch856	e856	n/a	V
ch857	e857	n/a	V
ch858	e858	n/a	V
ch859	e859	n/a	V
ch860	e860	n/a	V
ch861	e861	n/a	V
ch862	e862	n/a	V
ch863	e863	n/a	V
ch864	e864	n/a	V
ch865	e865	n/a	V
ch866	e866	n/a	V
ch867	e867	n/a	V
ch868	e868	n/a	V
ch869	e869	n/a	V
ch870	e870	n/a	V
ch871	e871	n/a	V
ch872	e872	n/a	V
ch873	e873	n/a	V
ch874	e874	n/a	V
ch875	e875	n/a	V
ch876	e876	n/a	V
ch877	e877	n/a	V
ch878	e878	n/a	V
ch879	e879	n/a	V
ch880	e880	n/a	V
ch881	e881	n/a	V
ch882	e882	n/a	V
ch883	e883	n/a	V
ch884	e884	n/a	V
ch885	e885	n/a	V
ch886	e886	n/a	V
ch887	e887	n/a	V
ch888	e888	n/a	V
ch889	e889	n/a	V
ch890	e890	n/a	V
ch891	e891	n/a	V
ch892	e892	n/a	V
ch893	e893	n/a	V
ch894	e894	n/a	V
ch895	e895	n/a	V
ch896	e896	n/a	V
ch897	e897	n/a	V
ch898	e898	n/a	V
ch899	e899	n/a	V
ch900	e900	n/a	V
